 Total Nb of available Diagnostics: ndiagt=   375
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |TOTTTEND| 23 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
    99 |TOTSTEND| 23 |       |SMR     MR|g/kg/day        |Tendency of Salinity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |MoistCor| 23 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   101 |gT_Forc | 23 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   102 |gS_Forc | 23 |       |SMR     MR|g/kg/s          |Salinity forcing tendency
   103 |AB_gT   | 23 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   104 |AB_gS   | 23 |       |SMR     MR|g/kg/s          |Salinity tendency from Adams-Bashforth
   105 |gTinAB  | 23 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   106 |gSinAB  | 23 |       |SMR     MR|g/kg/s          |Salinity tendency going in Adams-Bashforth
   107 |AB_gU   | 23 |   108 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   108 |AB_gV   | 23 |   107 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   109 |ADJetan |  1 |       |SM A    M1|dJ/m            |dJ/dEtaN: Sensitivity to sea surface height anomaly
   110 |ADJuvel | 23 |   111 |UURA    MR|dJ/(m/s)        |dJ/dU: Sensitivity to zonal velocity
   111 |ADJvvel | 23 |   110 |VVRA    MR|dJ/(m/s)        |dJ/dV: Sensitivity to meridional velocity
   112 |ADJwvel | 23 |       |WM A    LR|dJ/(m/s)        |dJ/dW: Sensitivity to vertical velocity
   113 |ADJtheta| 23 |       |SMRA    MR|dJ/degC         |dJ/dTheta: Sensitivity to potential temperature
   114 |ADJsalt | 23 |       |SMRA    MR|dJ/(g/kg)       |dJ/dSalt: Sensitivity to salinity
   115 |ADJtaux |  1 |   116 |UU A    U1|dJ/(N/m^2)      |dJ/dTaux: Senstivity to zonal surface wind stress
   116 |ADJtauy |  1 |   115 |VV A    U1|dJ/(N/m^2)      |dJ/dTauy: Sensitivity to merid. surface wind stress
   117 |ADJempmr|  1 |       |SM A    U1|dJ/(kg/m^2/s)   |dJ/dEmPmR: Sensitivity to net surface Fresh-Water flux into the ocean
   118 |ADJqnet |  1 |       |SM A    U1|dJ/(W/m^2)      |dJ/dQnet: Sensitivity to net surface heat fluxinto the ocean
   119 |ADJqsw  |  1 |       |SM A    U1|dJ/(W/m^2)      |dJ/dQsw: Sensitivitiy to net Short-Wave radiation
   120 |ADJsst  |  1 |       |SM A    M1|dJ/K            |dJ/dSST: Sensitivity to Sea Surface Temperature
   121 |ADJsss  |  1 |       |SM A    M1|dJ/(g/kg)       |dJ/dSSS: Sensitivity to Sea Surface Salinity
   122 |ADJbtdrg|  1 |       |SM A    M1|dJ/d()          |dJ/dCd: Sensitivity to bottom drag coefficient
   123 |ADJdifkr| 23 |       |SMRA    MR|dJ/d(m^2/s))    |dJ/dKr: Sensitivity to vertical diffusivity
   124 |ADJepsix| 23 |   125 |UURA    UR|dJ/(m^2/s)      |dJ/dEddyPsiX: Sensitivity to zonal eddystreamfunction
   125 |ADJepsiy| 23 |   124 |VVRA    UR|dJ/(m^2/s)      |dJ/dEddyPsiY: Sensitivity to meridional eddystreamfunction
   126 |ADVr_TH | 23 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   127 |ADVx_TH | 23 |   128 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   128 |ADVy_TH | 23 |   127 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   129 |DFrE_TH | 23 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   130 |DFxE_TH | 23 |   131 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   131 |DFyE_TH | 23 |   130 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   132 |DFrI_TH | 23 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   133 |ADVr_SLT| 23 |       |WM      LR|g/kg.m^3/s      |Vertical   Advective Flux of Salinity
   134 |ADVx_SLT| 23 |   135 |UU      MR|g/kg.m^3/s      |Zonal      Advective Flux of Salinity
   135 |ADVy_SLT| 23 |   134 |VV      MR|g/kg.m^3/s      |Meridional Advective Flux of Salinity
   136 |DFrE_SLT| 23 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Explicit part)
   137 |DFxE_SLT| 23 |   138 |UU      MR|g/kg.m^3/s      |Zonal      Diffusive Flux of Salinity
   138 |DFyE_SLT| 23 |   137 |VV      MR|g/kg.m^3/s      |Meridional Diffusive Flux of Salinity
   139 |DFrI_SLT| 23 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Implicit part)
   140 |SALTFILL| 23 |       |SM      MR|g/kg.m^3/s      |Filling of Negative Values of Salinity
   141 |VISCAHZ | 23 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   142 |VISCA4Z | 23 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   143 |VISCAHD | 23 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   144 |VISCA4D | 23 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   145 |VISCAHW | 23 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   146 |VISCA4W | 23 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   147 |VAHZMAX | 23 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   148 |VA4ZMAX | 23 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   149 |VAHDMAX | 23 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   150 |VA4DMAX | 23 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   151 |VAHZMIN | 23 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   152 |VA4ZMIN | 23 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   153 |VAHDMIN | 23 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   154 |VA4DMIN | 23 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   155 |VAHZLTH | 23 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   156 |VA4ZLTH | 23 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   157 |VAHDLTH | 23 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   158 |VA4DLTH | 23 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   159 |VAHZLTHD| 23 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   160 |VA4ZLTHD| 23 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   161 |VAHDLTHD| 23 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   162 |VA4DLTHD| 23 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   163 |VAHZSMAG| 23 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   164 |VA4ZSMAG| 23 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   165 |VAHDSMAG| 23 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   166 |VA4DSMAG| 23 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   167 |momKE   | 23 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   168 |momHDiv | 23 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   169 |momVort3| 23 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   170 |Strain  | 23 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   171 |Tension | 23 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   172 |Stretch | 23 |       |SM      MR|s^-1            |Vortex stretching from QG Leith dynamic viscosity
   173 |USidDrag| 23 |   174 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   174 |VSidDrag| 23 |   173 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   175 |Um_Diss | 23 |   176 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Explicit part)
   176 |Vm_Diss | 23 |   175 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Explicit part)
   177 |Um_ImplD| 23 |   178 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Implicit part)
   178 |Vm_ImplD| 23 |   177 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Implicit part)
   179 |Um_Advec| 23 |   180 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   180 |Vm_Advec| 23 |   179 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   181 |Um_Cori | 23 |   182 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   182 |Vm_Cori | 23 |   181 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   183 |Um_dPhiX| 23 |   184 |UUR     MR|m/s^2           |U momentum tendency from Pressure/Potential grad
   184 |Vm_dPhiY| 23 |   183 |VVR     MR|m/s^2           |V momentum tendency from Pressure/Potential grad
   185 |Um_Ext  | 23 |   186 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   186 |Vm_Ext  | 23 |   185 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   187 |Um_AdvZ3| 23 |   188 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   188 |Vm_AdvZ3| 23 |   187 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   189 |Um_AdvRe| 23 |   190 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   190 |Vm_AdvRe| 23 |   189 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   191 |botTauX |  1 |   192 |UU      U1|N/m^2           |zonal bottom stress, >0 increases uVel
   192 |botTauY |  1 |   191 |VV      U1|N/m^2           |meridional bottom stress, >0 increases vVel
   193 |ADVx_Um | 23 |   194 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   194 |ADVy_Um | 23 |   193 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   195 |ADVrE_Um| 23 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   196 |ADVx_Vm | 23 |   197 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   197 |ADVy_Vm | 23 |   196 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   198 |ADVrE_Vm| 23 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   199 |VISCx_Um| 23 |   200 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |VISCy_Um| 23 |   199 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   201 |VISrE_Um| 23 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   202 |VISrI_Um| 23 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   203 |VISCx_Vm| 23 |   204 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   204 |VISCy_Vm| 23 |   203 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   205 |VISrE_Vm| 23 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   206 |VISrI_Vm| 23 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   207 |EXFhs   |  1 |       |SM      U1|W/m^2           |Sensible heat flux into ocean, >0 increases theta
   208 |EXFhl   |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   209 |EXFlwnet|  1 |       |SM      U1|W/m^2           |Net upward longwave radiation, >0 decreases theta
   210 |EXFswnet|  1 |       |SM      U1|W/m^2           |Net upward shortwave radiation, >0 decreases theta
   211 |EXFlwdn |  1 |       |SM      U1|W/m^2           |Downward longwave radiation, >0 increases theta
   212 |EXFswdn |  1 |       |SM      U1|W/m^2           |Downward shortwave radiation, >0 increases theta
   213 |EXFqnet |  1 |       |SM      U1|W/m^2           |Net upward heat flux (turb+rad), >0 decreases theta
   214 |EXFtaux |  1 |       |UM      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
   215 |EXFtauy |  1 |       |VM      U1|N/m^2           |meridional surface wind stress, >0 increases vVel
   216 |EXFuwind|  1 |       |UM      U1|m/s             |zonal 10-m wind speed, >0 eastward
   217 |EXFvwind|  1 |       |VM      U1|m/s             |meridional 10-m wind speed, >0 northward
   218 |EXFurelw|  1 |       |UM      U1|m/s             |zonal relative 10-m wind speed, >0 eastward
   219 |EXFvrelw|  1 |       |VM      U1|m/s             |meridional relative 10-m wind speed, >0 northward
   220 |EXFwspee|  1 |       |SM      U1|m/s             |10-m wind speed modulus ( >= 0 )
   221 |EXFatemp|  1 |       |SM      U1|degK            |surface (2-m) air temperature
   222 |EXFaqh  |  1 |       |SM      U1|kg/kg           |surface (2-m) specific humidity
   223 |EXFevap |  1 |       |SM      U1|m/s             |evaporation, > 0 increases salinity
   224 |EXFpreci|  1 |       |SM      U1|m/s             |precipitation, > 0 decreases salinity
   225 |EXFsnow |  1 |       |SM      U1|m/s             |snow precipitation, > 0 decreases salinity
   226 |EXFempmr|  1 |       |SM      U1|m/s             |net upward freshwater flux, > 0 increases salinity
   227 |EXFpress|  1 |       |SM      U1|N/m^2           |atmospheric pressure field
   228 |EXFroff |  1 |       |SM      U1|m/s             |river runoff, > 0 decreases salinity
   229 |EXFroft |  1 |       |SM      U1|deg C           |river runoff temperature
   230 |EXFsalfx|  1 |       |SM      U1|g/m^2/s         |upward salt flux, > 0 decreases salinity
   231 |ADJustrs|  1 |   232 |UM A    U1|dJ/(N/m^2)      |dJ/dustress: Senstivity to zonal surface wind stress
   232 |ADJvstrs|  1 |   231 |VM A    U1|dJ/(N/m^2)      |dJ/dvstrs: Sensitivity to merid. surface wind stress
   233 |ADJhflux|  1 |       |SM A    U1|dJ/(W/m^2)      |dJ/dhflux: Sensitivity to upward heat flux
   234 |ADJsflux|  1 |       |SM A    U1|dJ/(m/s)        |dJ/dhflux: Sensitivity to upward fresh water flux
   235 |ADJatemp|  1 |       |SM A    U1|dJ/K            |dJ/datemp: Sensitivity to atmos. surface temperature
   236 |ADJpreci|  1 |       |SM A    U1|dJ/(m/s)        |dJ/daqh: Sensitivity to precipitation
   237 |ADJroff |  1 |       |SM A    U1|dJ/(m/s)        |dJ/daqh: Sensitivity to river runoff
   238 |ADJswdn |  1 |       |SM A    U1|dJ/(W/m^2)      |dJ/dswdown: Sensitivity to downward SW radiation
   239 |ADJlwdn |  1 |       |SM A    U1|dJ/(W/m^2)      |dJ/dlwdown: Sensitivity to downward LW radiation
   240 |ADJuwind|  1 |       |UM A    U1|dJ/d(m/s)       |dJ/duwind: Senstivity to zonal 10-m wind speed
   241 |ADJvwind|  1 |       |VM A    U1|dJ/d(m/s)       |dJ/dvwind: Senstivity to meridional 10-m wind speed
   242 |ADJclsst|  1 |       |SM A    U1|dJ/K            |dJ/dclimsst: Sensitivity to restoring SST
   243 |ADJclsss|  1 |       |SM A    U1|dJ/(g/kg)       |dJ/dclimsss: Sensitivity to restoring SSS
   244 |KPPviscA| 23 |       |SM P    LR|m^2/s           |KPP vertical eddy viscosity coefficient
   245 |KPPdiffS| 23 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for salt & tracers
   246 |KPPdiffT| 23 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for heat
   247 |KPPghatK| 23 |       |SM P    LR|0-1             |ratio of KPP non-local (salt) flux relative to surface-flux
   248 |KPPhbl  |  1 |       |SM P     1|m               |KPP boundary layer depth, bulk Ri criterion
   249 |KPPfrac |  1 |       |SM P     1|                |Short-wave flux fraction penetrating mixing layer
   250 |KPPdbsfc| 23 |       |SM P    UR|m/s^2           |Buoyancy difference with respect to surface
   251 |KPPbfsfc| 23 |       |SM P    UR|m^2/s^3         |Bo+radiation absorbed to d=hbf*hbl + plume
   252 |KPPRi   | 23 |       |SM P    UR|non-dimensional |Bulk Richardson number
   253 |KPPbo   |  1 |       |SM P     1|m^2/s^3         |Surface turbulent buoyancy forcing
   254 |KPPbosol|  1 |       |SM P     1|m^2/s^3         |surface radiative buoyancy forcing
